ID_POST,Sentiment,Count,positive,negative,neutre
108656639173392_1003509086354805,neutre,37,12,37,30
108656639173392_1003811889657858,negative,3,3,44,25
108656639173392_1003811889657858,positive,25,3,44,25
108656639173392_1003811889657858,neutre,44,3,44,25
108656639173392_1004082766297437,negative,1,1,12,4
108656639173392_1004082766297437,positive,4,1,12,4
108656639173392_1004082766297437,neutre,12,1,12,4
108656639173392_1004103549628692,negative,34,34,267,173
108656639173392_1004103549628692,positive,173,34,267,173
108656639173392_1004103549628692,neutre,267,34,267,173
108656639173392_1004830569555990,negative,2,2,22,19
108656639173392_1004830569555990,positive,19,2,22,19
108656639173392_1004830569555990,neutre,22,2,22,19
108656639173392_1004841332888247,negative,0,0,21,2
108656639173392_1004841332888247,positive,2,0,21,2
108656639173392_1004841332888247,neutre,21,0,21,2
108656639173392_1004856309553416,negative,9,9,127,61
108656639173392_1004856309553416,positive,61,9,127,61
108656639173392_1004856309553416,neutre,127,9,127,61
108656639173392_1004993276206386,negative,1,1,11,0
108656639173392_1004993276206386,positive,0,1,11,0
108656639173392_1004993276206386,neutre,11,1,11,0
108656639173392_1005012662871114,negative,0,0,4,1
108656639173392_1005012662871114,positive,1,0,4,1
108656639173392_1005012662871114,neutre,4,0,4,1
108656639173392_1005518392820541,negative,2,2,2,4
108656639173392_1005518392820541,positive,4,2,2,4
108656639173392_1005518392820541,neutre,2,2,2,4
108656639173392_1005887439450303,negative,2,2,18,10
108656639173392_1005887439450303,positive,10,2,18,10
108656639173392_1005887439450303,neutre,18,2,18,10
108656639173392_1006390829399964,negative,2,2,17,3
108656639173392_1006390829399964,positive,3,2,17,3
108656639173392_1006390829399964,neutre,17,2,17,3
108656639173392_1006408626064851,negative,8,8,39,34
108656639173392_1006408626064851,positive,34,8,39,34
108656639173392_1006408626064851,neutre,39,8,39,34
108656639173392_1006933986012315,negative,2,2,30,184
108656639173392_1006933986012315,positive,184,2,30,184
108656639173392_1006933986012315,neutre,30,2,30,184
108656639173392_1007106282661752,negative,4,4,8,4
108656639173392_1007106282661752,positive,4,4,8,4
108656639173392_1007106282661752,neutre,8,4,8,4
108656639173392_1008459892526391,negative,1,1,5,9
108656639173392_1008459892526391,positive,9,1,5,9
108656639173392_1008459892526391,neutre,5,1,5,9
108656639173392_1008490929189954,negative,1,1,18,27
108656639173392_1008490929189954,positive,27,1,18,27
108656639173392_1008490929189954,neutre,18,1,18,27
108656639173392_1008520175853696,negative,1,1,5,3
108656639173392_1008520175853696,positive,3,1,5,3
108656639173392_1008520175853696,neutre,5,1,5,3
108656639173392_1008985862473794,negative,1,1,22,130
108656639173392_1008985862473794,positive,130,1,22,130
108656639173392_1008985862473794,neutre,22,1,22,130
108656639173392_1009730752399305,negative,0,0,7,0
108656639173392_1009730752399305,positive,0,0,7,0
108656639173392_1009730752399305,neutre,7,0,7,0
108656639173392_1009734819065565,negative,1,1,3,10
108656639173392_1009734819065565,positive,10,1,3,10
108656639173392_1009734819065565,neutre,3,1,3,10
108656639173392_1009746522397728,negative,12,12,34,21
108656639173392_1009746522397728,positive,21,12,34,21
108656639173392_1009746522397728,neutre,34,12,34,21
108656639173392_1010652678973779,negative,1,1,7,2
108656639173392_1010652678973779,positive,2,1,7,2
108656639173392_1010652678973779,neutre,7,1,7,2
108656639173392_1010661598972887,negative,1,1,19,5
108656639173392_1010661598972887,positive,5,1,19,5
108656639173392_1010661598972887,neutre,19,1,19,5
108656639173392_1010704392301941,negative,3,3,14,18
108656639173392_1010704392301941,positive,18,3,14,18
108656639173392_1010704392301941,neutre,14,3,14,18
108656639173392_1010779215627792,negative,0,0,20,2
108656639173392_1010779215627792,positive,2,0,20,2
108656639173392_1010779215627792,neutre,20,0,20,2
108656639173392_1011240698914977,negative,2,2,45,9
108656639173392_1011240698914977,positive,9,2,45,9
108656639173392_1011240698914977,neutre,45,2,45,9
108656639173392_1012308602141520,negative,6,6,17,26
108656639173392_1012308602141520,positive,26,6,17,26
108656639173392_1012308602141520,neutre,17,6,17,26
108656639173392_1013484648690582,negative,5,5,22,28
108656639173392_1013484648690582,positive,28,5,22,28
108656639173392_1013484648690582,neutre,22,5,22,28
108656639173392_1013979438641103,negative,0,0,8,1
108656639173392_1013979438641103,positive,1,0,8,1
108656639173392_1013979438641103,neutre,8,0,8,1
108656639173392_1014494581922922,negative,2,2,16,1
108656639173392_1014494581922922,positive,1,2,16,1
108656639173392_1014494581922922,neutre,16,2,16,1
108656639173392_1014664005239313,negative,6,6,31,25
108656639173392_1014664005239313,positive,25,6,31,25
108656639173392_1014664005239313,neutre,31,6,31,25
108656639173392_1015053455200368,negative,16,16,52,37
108656639173392_1015053455200368,positive,37,16,52,37
108656639173392_1015053455200368,neutre,52,16,52,37
108656639173392_1015054791866901,negative,2,2,3,4
108656639173392_1015054791866901,positive,4,2,3,4
108656639173392_1015054791866901,neutre,3,2,3,4
108656639173392_1015306048508442,negative,85,85,146,81
108656639173392_1015306048508442,positive,81,85,146,81
108656639173392_1015306048508442,neutre,146,85,146,81
108656639173392_1016092991763081,negative,7,7,152,16
108656639173392_1016092991763081,positive,16,7,152,16
108656639173392_1016092991763081,neutre,152,7,152,16
108656639173392_1016566435049070,negative,4,4,9,5
108656639173392_1016566435049070,positive,5,4,9,5
108656639173392_1016566435049070,neutre,9,4,9,5
108656639173392_1016628338376213,negative,6,6,141,25
108656639173392_1016628338376213,positive,25,6,141,25
108656639173392_1016628338376213,neutre,141,6,141,25
108656639173392_1016723268366720,negative,6,6,29,7
108656639173392_1016723268366720,positive,7,6,29,7
108656639173392_1016723268366720,neutre,29,6,29,7
108656639173392_1017156204990093,negative,8,8,39,28
108656639173392_1017156204990093,positive,28,8,39,28
108656639173392_1017156204990093,neutre,39,8,39,28
108656639173392_1017204931651887,negative,0,0,2,1
108656639173392_1017204931651887,positive,1,0,2,1
108656639173392_1017204931651887,neutre,2,0,2,1
108656639173392_1017221211650259,negative,2,2,82,12
108656639173392_1017221211650259,positive,12,2,82,12
108656639173392_1017221211650259,neutre,82,2,82,12
108656639173392_1017376698301377,negative,1,1,3,1
108656639173392_1017376698301377,positive,1,1,3,1
108656639173392_1017376698301377,neutre,3,1,3,1
108656639173392_1017760314929682,negative,2,2,257,30
108656639173392_1017760314929682,positive,30,2,257,30
108656639173392_1017760314929682,neutre,257,2,257,30
108656639173392_1017912331581147,negative,2,2,1,5
108656639173392_1017912331581147,positive,5,2,1,5
108656639173392_1017912331581147,neutre,1,2,1,5
108656639173392_1018283324877381,negative,4,4,298,52
108656639173392_1018283324877381,positive,52,4,298,52
108656639173392_1018283324877381,neutre,298,4,298,52
108656639173392_1018301171542263,negative,1,1,5,2
108656639173392_1018301171542263,positive,2,1,5,2
108656639173392_1018301171542263,neutre,5,1,5,2
108656639173392_1018314998207547,negative,2,2,13,2
108656639173392_1018314998207547,positive,2,2,13,2
108656639173392_1018314998207547,neutre,13,2,13,2
108656639173392_1019008861471494,negative,9,9,28,23
108656639173392_1019008861471494,positive,23,9,28,23
108656639173392_1019008861471494,neutre,28,9,28,23
108656639173392_1019433598095687,negative,19,19,43,12
108656639173392_1019433598095687,positive,12,19,43,12
108656639173392_1019433598095687,neutre,43,19,43,12
108656639173392_1019441271428253,negative,3,3,10,8
108656639173392_1019441271428253,positive,8,3,10,8
108656639173392_1019441271428253,neutre,10,3,10,8
108656639173392_1019636724742041,negative,107,107,120,121
108656639173392_1019636724742041,positive,121,107,120,121
108656639173392_1019636724742041,neutre,120,107,120,121
108656639173392_1019644548074592,negative,6,6,21,2
108656639173392_1019644548074592,positive,2,6,21,2
108656639173392_1019644548074592,neutre,21,6,21,2
108656639173392_1020132224692491,negative,6,6,9,20
108656639173392_1020132224692491,positive,20,6,9,20
108656639173392_1020132224692491,neutre,9,6,9,20
108656639173392_1020633877975659,negative,0,0,3,3
108656639173392_1020633877975659,positive,3,0,3,3
108656639173392_1020633877975659,neutre,3,0,3,3
108656639173392_1020648574640856,negative,5,5,17,5
108656639173392_1020648574640856,positive,5,5,17,5
108656639173392_1020648574640856,neutre,17,5,17,5
108656639173392_1020716434634070,negative,0,0,1,0
108656639173392_1020716434634070,positive,0,0,1,0
108656639173392_1020716434634070,neutre,1,0,1,0
108656639173392_1020774147961632,negative,1,1,12,4
108656639173392_1020774147961632,positive,4,1,12,4
108656639173392_1020774147961632,neutre,12,1,12,4
108656639173392_1021260731246307,negative,4,4,1,4
108656639173392_1021260731246307,positive,4,4,1,4
108656639173392_1021260731246307,neutre,1,4,1,4
108656639173392_1021444841227896,negative,4,4,9,7
108656639173392_1021444841227896,positive,7,4,9,7
108656639173392_1021444841227896,neutre,9,4,9,7
108656639173392_1021977734507940,negative,3,3,6,3
108656639173392_1021977734507940,positive,3,3,6,3
108656639173392_1021977734507940,neutre,6,3,6,3
108656639173392_1022026397836407,negative,0,0,5,6
108656639173392_1022026397836407,positive,6,0,5,6
108656639173392_1022026397836407,neutre,5,0,5,6
108656639173392_1022729844432729,negative,2,2,18,13
108656639173392_1022729844432729,positive,13,2,18,13
108656639173392_1022729844432729,neutre,18,2,18,13
108656639173392_1022807257758321,negative,8,8,29,40
108656639173392_1022807257758321,positive,40,8,29,40
108656639173392_1022807257758321,neutre,29,8,29,40
108656639173392_1023393714366342,negative,12,12,46,16
108656639173392_1023393714366342,positive,16,12,46,16
108656639173392_1023393714366342,neutre,46,12,46,16
108656639173392_1023525847686462,negative,95,95,139,123
108656639173392_1023525847686462,positive,123,95,139,123
108656639173392_1023525847686462,neutre,139,95,139,123
108656639173392_1024489327590114,negative,1,1,8,8
108656639173392_1024489327590114,positive,8,1,8,8
108656639173392_1024489327590114,neutre,8,1,8,8
108656639173392_1024516824254031,negative,12,12,128,37
108656639173392_1024516824254031,positive,37,12,128,37
108656639173392_1024516824254031,neutre,128,12,128,37
108656639173392_1024525547586492,negative,0,0,9,6
108656639173392_1024525547586492,positive,6,0,9,6
108656639173392_1024525547586492,neutre,9,0,9,6
108656639173392_1024596127579434,negative,4,4,193,16
108656639173392_1024596127579434,positive,16,4,193,16
108656639173392_1024596127579434,neutre,193,4,193,16
108656639173392_1024687454236968,negative,4,4,13,7
108656639173392_1024687454236968,positive,7,4,13,7
108656639173392_1024687454236968,neutre,13,4,13,7
108656639173392_1025102907528756,negative,12,12,302,57
108656639173392_1025102907528756,positive,57,12,302,57
108656639173392_1025102907528756,neutre,302,12,302,57
108656639173392_1025113114194402,negative,5,5,12,8
108656639173392_1025113114194402,positive,8,5,12,8
108656639173392_1025113114194402,neutre,12,5,12,8
108656639173392_1025664034139310,negative,0,0,4,3
108656639173392_1025664034139310,positive,3,0,4,3
108656639173392_1025664034139310,neutre,4,0,4,3
108656639173392_1025797397459307,negative,4,4,231,44
108656639173392_1025797397459307,positive,44,4,231,44
108656639173392_1025797397459307,neutre,231,4,231,44
108656639173392_1026240097415037,negative,6,6,276,49
108656639173392_1026240097415037,positive,49,6,276,49
108656639173392_1026240097415037,neutre,276,6,276,49
108656639173392_1026375634068150,negative,3,3,33,15
108656639173392_1026375634068150,positive,15,3,33,15
108656639173392_1026375634068150,neutre,33,3,33,15
108656639173392_1026411064064607,negative,10,10,36,10
108656639173392_1026411064064607,positive,10,10,36,10
108656639173392_1026411064064607,neutre,36,10,36,10
108656639173392_1026429067396140,negative,1,1,14,7
108656639173392_1026429067396140,positive,7,1,14,7
108656639173392_1026429067396140,neutre,14,1,14,7
108656639173392_1026790050693375,negative,10,10,45,23
108656639173392_1026790050693375,positive,23,10,45,23
108656639173392_1026790050693375,neutre,45,10,45,23
108656639173392_1026902440682136,negative,1,1,11,3
108656639173392_1026902440682136,positive,3,1,11,3
108656639173392_1026902440682136,neutre,11,1,11,3
108656639173392_1027160503989663,negative,107,107,143,113
108656639173392_1027160503989663,positive,113,107,143,113
108656639173392_1027160503989663,neutre,143,107,143,113
108656639173392_1027164283989285,negative,14,14,35,22
108656639173392_1027164283989285,positive,22,14,35,22
108656639173392_1027164283989285,neutre,35,14,35,22
108656639173392_1029070363798677,negative,5,5,29,14
108656639173392_1029070363798677,positive,14,5,29,14
108656639173392_1029070363798677,neutre,29,5,29,14
108656639173392_1029547007084346,negative,0,0,1,1
108656639173392_1029547007084346,positive,1,0,1,1
108656639173392_1029547007084346,neutre,1,0,1,1
108656639173392_1029812937057753,negative,6,6,36,16
108656639173392_1029812937057753,positive,16,6,36,16
108656639173392_1029812937057753,neutre,36,6,36,16
108656639173392_1030498960322484,negative,1,1,6,8
108656639173392_1030498960322484,positive,8,1,6,8
108656639173392_1030498960322484,neutre,6,1,6,8
108656639173392_1032247763480937,negative,11,11,16,9
108656639173392_1032247763480937,positive,9,11,16,9
108656639173392_1032247763480937,neutre,16,11,16,9
108656639173392_1032964480075932,negative,7,7,17,14
108656639173392_1032964480075932,positive,14,7,17,14
108656639173392_1032964480075932,neutre,17,7,17,14
108656639173392_1033572833348430,negative,17,17,52,22
108656639173392_1033572833348430,positive,22,17,52,22
108656639173392_1033572833348430,neutre,52,17,52,22
108656639173392_1033737606665286,negative,46,46,63,62
108656639173392_1033737606665286,positive,62,46,63,62
108656639173392_1033737606665286,neutre,63,46,63,62
108656639173392_1034219139950466,negative,0,0,3,2
108656639173392_1034219139950466,positive,2,0,3,2
108656639173392_1034219139950466,neutre,3,0,3,2
108656639173392_1034264499945930,negative,3,3,10,17
108656639173392_1034264499945930,positive,17,3,10,17
108656639173392_1034264499945930,neutre,10,3,10,17
108656639173392_1035088989863481,negative,10,10,19,6
108656639173392_1035088989863481,positive,6,10,19,6
108656639173392_1035088989863481,neutre,19,10,19,6
108656639173392_1035239236515123,negative,0,0,16,21
108656639173392_1035239236515123,positive,21,0,16,21
108656639173392_1035239236515123,neutre,16,0,16,21
108656639173392_1035240253181688,negative,1,1,15,11
108656639173392_1035240253181688,positive,11,1,15,11
108656639173392_1035240253181688,neutre,15,1,15,11
108656639173392_1035246966514350,negative,0,0,8,3
108656639173392_1035246966514350,positive,3,0,8,3
108656639173392_1035246966514350,neutre,8,0,8,3
108656639173392_1035369013168812,negative,0,0,10,9
108656639173392_1035369013168812,positive,9,0,10,9
108656639173392_1035369013168812,neutre,10,0,10,9
108656639173392_1035423913163322,negative,0,0,10,6
108656639173392_1035423913163322,positive,6,0,10,6
108656639173392_1035423913163322,neutre,10,0,10,6
108656639173392_1036042896434757,negative,4,4,26,7
108656639173392_1036042896434757,positive,7,4,26,7
108656639173392_1036042896434757,neutre,26,4,26,7
108656639173392_1036124146426632,negative,7,7,11,13
108656639173392_1036124146426632,positive,13,7,11,13
108656639173392_1036124146426632,neutre,11,7,11,13
108656639173392_1036126776426369,negative,18,18,207,33
108656639173392_1036126776426369,positive,33,18,207,33
108656639173392_1036126776426369,neutre,207,18,207,33
108656639173392_1037133906325656,negative,0,0,3,0
108656639173392_1037133906325656,positive,0,0,3,0
108656639173392_1037133906325656,neutre,3,0,3,0
108656639173392_1037281166310930,negative,0,0,8,8
108656639173392_1037281166310930,positive,8,0,8,8
108656639173392_1037281166310930,neutre,8,0,8,8
108656639173392_1038179392887774,negative,4,4,5,6
108656639173392_1038179392887774,positive,6,4,5,6
108656639173392_1038179392887774,neutre,5,4,5,6
108656639173392_1038259869546393,negative,7,7,83,27
108656639173392_1038259869546393,positive,27,7,83,27
108656639173392_1038259869546393,neutre,83,7,83,27
108656639173392_1039183876120659,negative,4,4,14,11
108656639173392_1039183876120659,positive,11,4,14,11
108656639173392_1039183876120659,neutre,14,4,14,11
108656639173392_1039405256098521,negative,6,6,48,48
108656639173392_1039405256098521,positive,48,6,48,48
108656639173392_1039405256098521,neutre,48,6,48,48
108656639173392_1040067429365637,negative,13,13,56,25
108656639173392_1040067429365637,positive,25,13,56,25
108656639173392_1040067429365637,neutre,56,13,56,25
108656639173392_1040214136017633,negative,1,1,11,6
108656639173392_1040214136017633,positive,6,1,11,6
108656639173392_1040214136017633,neutre,11,1,11,6
108656639173392_1040625339309846,negative,11,11,96,79
108656639173392_1040625339309846,positive,79,11,96,79
108656639173392_1040625339309846,neutre,96,11,96,79
108656639173392_1040628659309514,negative,4,4,53,36
108656639173392_1040628659309514,positive,36,4,53,36
108656639173392_1040628659309514,neutre,53,4,53,36
108656639173392_1042065689165811,negative,0,0,23,10
108656639173392_1042065689165811,positive,10,0,23,10
108656639173392_1042065689165811,neutre,23,0,23,10
108656639173392_1042101215828925,negative,3,3,49,18
108656639173392_1042101215828925,positive,18,3,49,18
108656639173392_1042101215828925,neutre,49,3,49,18
108656639173392_1042294682476245,negative,6,6,15,17
108656639173392_1042294682476245,positive,17,6,15,17
108656639173392_1042294682476245,neutre,15,6,15,17
108656639173392_1042361269136253,negative,0,0,4,2
108656639173392_1042361269136253,positive,2,0,4,2
108656639173392_1042361269136253,neutre,4,0,4,2
108656639173392_1042429065796140,negative,1,1,2,3
108656639173392_1042429065796140,positive,3,1,2,3
108656639173392_1042429065796140,neutre,2,1,2,3
108656639173392_1043185895720457,negative,2,2,11,5
108656639173392_1043185895720457,positive,5,2,11,5
108656639173392_1043185895720457,neutre,11,2,11,5
108656639173392_1044206188951761,negative,3,3,37,30
108656639173392_1044206188951761,positive,30,3,37,30
108656639173392_1044206188951761,neutre,37,3,37,30
108656639173392_1044275975611449,negative,5,5,25,6
108656639173392_1044275975611449,positive,6,5,25,6
108656639173392_1044275975611449,neutre,25,5,25,6
108656639173392_1045105842195129,negative,0,0,1,1
108656639173392_1045105842195129,positive,1,0,1,1
108656639173392_1045105842195129,neutre,1,0,1,1
108656639173392_1045398408832539,negative,12,12,27,21
108656639173392_1045398408832539,positive,21,12,27,21
108656639173392_1045398408832539,neutre,27,12,27,21
108656639173392_1045870512118662,negative,18,18,56,31
108656639173392_1045870512118662,positive,31,18,56,31
108656639173392_1045870512118662,neutre,56,18,56,31
108656639173392_1046042518768128,negative,82,82,91,81
108656639173392_1046042518768128,positive,81,82,91,81
108656639173392_1046042518768128,neutre,91,82,91,81
108656639173392_1047036012002112,negative,0,0,3,2
108656639173392_1047036012002112,positive,2,0,3,2
108656639173392_1047036012002112,neutre,3,0,3,2
108656639173392_1047121628660217,negative,3,3,26,21
108656639173392_1047121628660217,positive,21,3,26,21
108656639173392_1047121628660217,neutre,26,3,26,21
108656639173392_1047579955281051,negative,8,8,36,12
108656639173392_1047579955281051,positive,12,8,36,12
108656639173392_1047579955281051,neutre,36,8,36,12
108656639173392_1048199865219060,negative,3,3,7,5
108656639173392_1048199865219060,positive,5,3,7,5
108656639173392_1048199865219060,neutre,7,3,7,5
108656639173392_1048294545209592,negative,3,3,36,29
108656639173392_1048294545209592,positive,29,3,36,29
108656639173392_1048294545209592,neutre,36,3,36,29
108656639173392_1048381545200892,negative,0,0,4,1
108656639173392_1048381545200892,positive,1,0,4,1
108656639173392_1048381545200892,neutre,4,0,4,1
108656639173392_1048827438489636,negative,0,0,8,11
108656639173392_1048827438489636,positive,11,0,8,11
108656639173392_1048827438489636,neutre,8,0,8,11
108656639173392_1049047841800929,negative,1,1,6,2
108656639173392_1049047841800929,positive,2,1,6,2
108656639173392_1049047841800929,neutre,6,1,6,2
108656639173392_1050986054940441,negative,5,5,162,30
108656639173392_1050986054940441,positive,30,5,162,30
108656639173392_1050986054940441,neutre,162,5,162,30
108656639173392_1051005378271842,negative,2,2,2,9
108656639173392_1051005378271842,positive,9,2,2,9
108656639173392_1051005378271842,neutre,2,2,2,9
108656639173392_1051143508258029,negative,5,5,39,28
108656639173392_1051143508258029,positive,28,5,39,28
108656639173392_1051143508258029,neutre,39,5,39,28
108656639173392_1051178578254522,negative,7,7,138,37
108656639173392_1051178578254522,positive,37,7,138,37
108656639173392_1051178578254522,neutre,138,7,138,37
108656639173392_1051552604883786,negative,1,1,225,27
108656639173392_1051552604883786,positive,27,1,225,27
108656639173392_1051552604883786,neutre,225,1,225,27
108656639173392_1052147298157650,negative,2,2,18,14
108656639173392_1052147298157650,positive,14,2,18,14
108656639173392_1052147298157650,neutre,18,2,18,14
108656639173392_1052170398155340,negative,2,2,5,7
108656639173392_1052170398155340,positive,7,2,5,7
108656639173392_1052170398155340,neutre,5,2,5,7
108656639173392_1052177688154611,negative,4,4,227,31
108656639173392_1052177688154611,positive,31,4,227,31
108656639173392_1052177688154611,neutre,227,4,227,31
108656639173392_1052256818146698,negative,3,3,127,31
108656639173392_1052256818146698,positive,31,3,127,31
108656639173392_1052256818146698,neutre,127,3,127,31
108656639173392_1052736054765441,negative,0,0,0,2
108656639173392_1052736054765441,positive,2,0,0,2
108656639173392_1052736054765441,neutre,0,0,0,2
108656639173392_1052752798097100,negative,2,2,13,2
108656639173392_1052752798097100,positive,2,2,13,2
108656639173392_1052752798097100,neutre,13,2,13,2
108656639173392_1052761664762880,negative,4,4,132,18
108656639173392_1052761664762880,positive,18,4,132,18
108656639173392_1052761664762880,neutre,132,4,132,18
108656639173392_1052776568094723,negative,2,2,8,11
108656639173392_1052776568094723,positive,11,2,8,11
108656639173392_1052776568094723,neutre,8,2,8,11
108656639173392_1053311624707884,negative,0,0,18,80
108656639173392_1053311624707884,positive,80,0,18,80
108656639173392_1053311624707884,neutre,18,0,18,80
108656639173392_1053350814703965,negative,1,1,7,2
108656639173392_1053350814703965,positive,2,1,7,2
108656639173392_1053350814703965,neutre,7,1,7,2
108656639173392_1053360831369630,negative,8,8,255,39
108656639173392_1053360831369630,positive,39,8,255,39
108656639173392_1053360831369630,neutre,255,8,255,39
108656639173392_1053554161350297,negative,6,6,16,9
108656639173392_1053554161350297,positive,9,6,16,9
108656639173392_1053554161350297,neutre,16,6,16,9
108656639173392_1053564198015960,negative,8,8,90,25
108656639173392_1053564198015960,positive,25,8,90,25
108656639173392_1053564198015960,neutre,90,8,90,25
108656639173392_1054082174630829,negative,5,5,33,21
108656639173392_1054082174630829,positive,21,5,33,21
108656639173392_1054082174630829,neutre,33,5,33,21
108656639173392_1054506484588398,negative,12,12,58,20
108656639173392_1054506484588398,positive,20,12,58,20
108656639173392_1054506484588398,neutre,58,12,58,20
108656639173392_1054712091234504,negative,50,50,140,100
108656639173392_1054712091234504,positive,100,50,140,100
108656639173392_1054712091234504,neutre,140,50,140,100
108656639173392_1054713094567737,negative,1,1,13,8
108656639173392_1054713094567737,positive,8,1,13,8
108656639173392_1054713094567737,neutre,13,1,13,8
108656639173392_1055059587866421,negative,10,10,8,12
108656639173392_1055059587866421,positive,12,10,8,12
108656639173392_1055059587866421,neutre,8,10,8,12
108656639173392_1055196221186091,negative,1,1,4,4
108656639173392_1055196221186091,positive,4,1,4,4
108656639173392_1055196221186091,neutre,4,1,4,4
108656639173392_1055692101136503,negative,2,2,11,4
108656639173392_1055692101136503,positive,4,2,11,4
108656639173392_1055692101136503,neutre,11,2,11,4
108656639173392_1059181707454209,negative,4,4,10,8
108656639173392_1059181707454209,positive,8,4,10,8
108656639173392_1059181707454209,neutre,10,4,10,8
108656639173392_1059228464116200,negative,0,0,11,18
108656639173392_1059228464116200,positive,18,0,11,18
108656639173392_1059228464116200,neutre,11,0,11,18
108656639173392_1059941600711553,negative,2,2,29,12
108656639173392_1059941600711553,positive,12,2,29,12
108656639173392_1059941600711553,neutre,29,2,29,12
108656639173392_1060439610661752,negative,1,1,9,9
108656639173392_1060439610661752,positive,9,1,9,9
108656639173392_1060439610661752,neutre,9,1,9,9
108656639173392_1060663097306070,negative,3,3,16,11
108656639173392_1060663097306070,positive,11,3,16,11
108656639173392_1060663097306070,neutre,16,3,16,11
108656639173392_1061048057267574,negative,1,1,9,4
108656639173392_1061048057267574,positive,4,1,9,4
108656639173392_1061048057267574,neutre,9,1,9,4
108656639173392_1061056003933446,negative,1,1,5,4
108656639173392_1061056003933446,positive,4,1,5,4
108656639173392_1061056003933446,neutre,5,1,5,4
108656639173392_1061233647249015,negative,3,3,22,12
108656639173392_1061233647249015,positive,12,3,22,12
108656639173392_1061233647249015,neutre,22,3,22,12
108656639173392_1061801673858879,negative,10,10,29,23
108656639173392_1061801673858879,positive,23,10,29,23
108656639173392_1061801673858879,neutre,29,10,29,23
108656639173392_1062229237149456,negative,18,18,72,52
108656639173392_1062229237149456,positive,52,18,72,52
108656639173392_1062229237149456,neutre,72,18,72,52
108656639173392_1062363833802663,negative,68,68,462,288
108656639173392_1062363833802663,positive,288,68,462,288
108656639173392_1062363833802663,neutre,462,68,462,288
108656639173392_1063300627042317,negative,2,2,10,11
108656639173392_1063300627042317,positive,11,2,10,11
108656639173392_1063300627042317,neutre,10,2,10,11
108656639173392_1063327287039651,negative,3,3,23,11
108656639173392_1063327287039651,positive,11,3,23,11
108656639173392_1063327287039651,neutre,23,3,23,11
108656639173392_1063351297037250,negative,8,8,38,12
108656639173392_1063351297037250,positive,12,8,38,12
108656639173392_1063351297037250,neutre,38,8,38,12
108656639173392_1063493480356365,negative,1,1,7,4
108656639173392_1063493480356365,positive,4,1,7,4
108656639173392_1063493480356365,neutre,7,1,7,4
108656639173392_1063996313639415,negative,0,0,1,2
108656639173392_1063996313639415,positive,2,0,1,2
108656639173392_1063996313639415,neutre,1,0,1,2
108656639173392_1064188243620222,negative,0,0,6,4
108656639173392_1064188243620222,positive,4,0,6,4
108656639173392_1064188243620222,neutre,6,0,6,4
108656639173392_1064461316926248,negative,1,1,10,4
108656639173392_1064461316926248,positive,4,1,10,4
108656639173392_1064461316926248,neutre,10,1,10,4
108656639173392_1064499283589118,negative,0,0,18,7
108656639173392_1064499283589118,positive,7,0,18,7
108656639173392_1064499283589118,neutre,18,0,18,7
